,序号,类型,节目名,表演者
13,14,表演唱,《抓沙蟹》,谢峰
14,15,百业奇招,①蒙眼剪纸②竖鸡蛋 ③快刀削果,王西安伍棣明刘爱群
15,16,劳动欢歌,①《打麦号子》②《创地瓜》③《纺棉花》④《苹果熟了》 ⑤《采红菱》⑥《赶小海》⑦《丰收喜讯满山乡》,翟宪立 吉林市歌舞团 孙丽英 陈红 叶矛、廖沙 任静张洪玲
16,17,喜剧小品,《陌生人》,巩汉林、蔡明
17,18,歌曲,《跟着太阳走》,胡月
18,19,歌曲,《你我是中国》,万山红
19,20,戏曲哑剧小品,《洞房花烛夜》,白淑贤、张寄蝶
20,21,歌曲,《水中花》,谭咏麟
21,22,对口单弦,《体坛新曲》,史琳、杨子春
22,23,歌曲,《去远方》,蔡国庆
23,24,喜剧小品,《小九老乐》,赵本山、杨蕾
24,25,歌曲,《江南情思》,黄霞芬
25,26,串场,《南腔北调话过年》,傅达仁
26,27,歌曲,《再回首》,姜育恒
27,28,歌曲,《同一首歌》,杭天琪、甄妮
28,29,喜剧小品,《乡音》,魏积安、赵连甲、常佩双
29,30,联唱,《夸家乡》⑴《夸山西》⑵《刘三姐》⑶《夸山东》 ⑷《黄杨扁担》 ⑸《江南好》⑹《鄂伦春小唱》 ⑺《凤阳花鼓》 ⑻《新疆是个好地方》 ⑼《节日夜晚》⑽《逛新城》⑾《挑担茶叶上北京》⑿《草原晨曲》 ⒀《我热恋的故乡》,吕继宏罗宁娜 彭书民 李丹阳 蔡红红 赵心 吴琼 李双江 宋祖英 张振富 张华敏 吴琼 胡松华 周皓、牛群
30,31,采访录像,江泽民、李鹏讲话,
31,32,歌曲,《在中国大地上》,彭丽媛
32,33,京剧联唱,《甘露寺》选段,马长礼、辛宝达、言兴明、耿其昌
33,34,喜剧小品,《警察与小偷》,陈佩斯、朱时茂
34,35,歌曲,《闪光的心灵》,安冬
35,36,歌曲,《一点烛光》,张丽华
36,37,桂剧选场,《打棍出箱》,卢浩、陈观、阳杰
37,38,英语京剧选场,《打瓜缘》,侯丹梅、张艺能、郭欣荣、陈少云
38,39,歌曲,《我想有个家》,潘美辰
39,40,歌曲,《共同的世界》,成方圆、解晓东、思浓、思雨
40,41,相声,《笑星劝酒》,阎月明、常佩业、笑林、李国盛
41,42,,零点钟声,
42,43,歌曲,《我唱一支羊年的歌》,梦鸽、魏金栋
43,44,小品,《除夕之夜话渴望》,张凯丽、韩影、杨青、庞敏、邸英、孟秀、孙松
44,45,歌曲,《路》,张暴默
45,46,相声,《学唱》,白桦、邓小林
46,47,百业奇招,《快速成衣》,刘敏、北京广告公司时装表演团
47,47,歌曲,《一朵云霞》,杭宏、张继红、周燕红、杨迎
48,48,歌曲,《留不住的话》,邝美云
49,49,相声,《训徒》,马季、赵炎、史可达
50,50,歌曲,《遥远的祝福》,赵欣瑜
51,51,杂技魔术小品,《争先恐后》,姬晓廷、李宝东、都广友
52,52,歌曲,《大黄河》,刘君侠
53,53,高清,《大秧歌》,中央民族歌舞团、吉林市歌舞团
54,54,结束曲/片尾曲,《难忘今宵》（最后一曲）,李谷一
,序号,类型,节目名,表演者
0,1,联唱,《难忘的歌》（1983-1992）,李谷一、沈小岑、殷秀梅、刘君侠、成方圆、蒋大为、段乐、杭天琪、费翔、胡晓晴、那英、毛阿敏、彭丽媛
1,2,相声,《小站联欢会》,侯耀文、石富宽
2,3,歌舞,《大步流星奔小康》,李玲玉、吴琼
3,4,小品,《秧歌情》,黄宏、宋丹丹
4,5,舞蹈,《瑞雪》,杨丽萍
5,6,川剧小品,《戒赌》,宋小林、喻海燕、刘玉梅
6,7,歌曲,《共同的风采》,彭丽媛
7,8,相声,《美丽畅想曲》,姜昆、唐杰忠
8,9,歌曲,《等你来》,宋祖英
9,10,歌曲,《城市行囊》,胡慧中
10,11,小品,《我想有个家》,赵本山、黄晓娟
11,12,相声,《办晚会》,牛群、冯巩
12,13,歌舞,《飞旋啊飞旋》,解晓东、张咪、张强
13,14,歌曲,《荧屏心相印》,赵忠祥、孙晓梅、吕念祖等电视工作者
14,15,戏曲欣赏,《梨园精萃》,赵飞、白涛、吴健平、方小娅
15,16,歌曲,《新年快乐》,小虎队、忧欢派对、少女队、红孩儿
16,17,,《今夜星辰》,孙启新、严顺开、梁谷音、陈述、达式常、陈海燕、章金莱、胡惠春（5岁）等（节目由叶惠贤执导）
17,18,歌曲,《杨柳青年画爱煞人》,韩笑
18,19,动物小品,《超生游击队》,上海人民杂技团
19,20,舞蹈,《踩鼓点》,宋拉成、艾媛等（山西省歌舞剧院）
20,21,歌舞,《欢乐进万家》,陈红、牛宝林、金小凤（傣族）、毛宁
21,22,,《手影》,赵子岳
22,23,歌曲,《马兰啊马兰》,李丹阳
23,24,游戏,《顶牛》,（山西电视台选送）
24,25,歌曲,《诉说》,罗宁娜
25,26,歌曲,《说句心里话》,郁钧剑
26,27,短剧,《拜年》,南京军区前线话剧团
27,28,歌曲,《站起来》,李双江
28,29,相声,《民族乐》,克里木、常佩业
29,30,歌舞,《欢乐今宵》,董文华
30,31,歌曲,《心中常驻芳华》,毛阿敏、刘德华、张雨生
31,32,小品,《妈妈的今天》,赵丽蓉、巩汉林、李文启
32,33,藏族歌舞,《向着太阳》,演唱者：达珍 领舞：达娃央宗、桑吉加
33,34,歌曲,《让我一次爱个够》,庾澄庆
34,35,相声,《宠物热》,李金斗、陈涌泉
35,36,小品,《草台班子》,郭昶、黎舒兰、潘长江
36,37,戏曲歌舞,《庙会风光》,陶慧敏、邓婕、朱世慧、马兰
37,38,相声,《论捧》,阎月明、李建华、王平
38,39,,零点钟声,
39,40,歌舞,《十二生肖拜大年》,梦鸽、魏金栋、孙浩、任静等
40,41,相声,《改门脸》,唐爱国、齐立强
41,42,歌曲,《乡愁》,胡浩波（旅法葡籍华人）
42,43,小品,《姐夫与小舅子》,陈佩斯、朱时茂
43,44,歌舞,《春天来了》,王蕾、刘小丽、马梅、周建霞、郑莉
44,45,结束曲/片尾曲,《难忘今宵》（最后一曲）,李谷一
,序号,类型,节目名,表演者
0,1,开场曲,《挂红灯》,海军海娃艺术团
1,2,歌舞,《海军海娃艺术团》,宋祖英、李丹阳、吴琼、陈俊华
2,3,魔术表演,,秦鸣晓姚金芬
3,4,戏曲表演,《春童献瑞》,南京小红花艺术团
4,5,小品,《擦皮鞋》,黄宏、魏积安
5,6,歌舞,《好年头好兆头》,陈红、景岗山
6,7,戏曲小品,《群丑争春》,朱世慧、寇春华、牛得草、张寄蝶、刘异龙、林继凡、李笑非、任廷芳、王道正等
7,8,歌曲,《想家的时候》,阎维文、万山红
8,9,小品,《老拜年》,赵本山、王中青、苏杰、阎淑萍
9,10,歌曲,《像雾像雨又像风》,梁雁翎（飞图唱片）
